target,model,task,cv,R2,RMSE,MAE,Test_F1,Precision,Recall,ROC_AUC,PR_AUC
monetary,Ridge,regression,0.29001704460117683,0.40339587274021516,14804.480999476396,2036.5029214738636,,,,,
monetary,RandomForest,regression,0.21122752159954125,0.5575091442439845,12749.765889206961,1750.8151442926246,,,,,
is_churned_180d,LogisticRegression,classification,0.6917289438455156,,,,0.6809756097560976,0.6403669724770642,0.7270833333333333,0.8042115660919541,0.687401528481077
is_churned_180d,RandomForest,classification,0.7108815134088655,,,,0.6973555337904016,0.6580406654343808,0.7416666666666667,0.8153795498084292,0.689273051636751
is_churned_180d,GradientBoosting,classification,0.7071346214230675,,,,0.7002909796314258,0.6551724137931034,0.7520833333333333,0.8177262931034484,0.6954232664307173
is_high_value,LogisticRegression,classification,0.8424804489490425,,,,0.8488888888888889,0.8883720930232558,0.8127659574468085,0.9851809980328758,0.9490140328971525
is_high_value,RandomForest,classification,0.8995730646696266,,,,0.9075268817204301,0.9173913043478261,0.8978723404255319,0.9921586361272526,0.9678357282580756
is_high_value,GradientBoosting,classification,0.901310389512601,,,,0.9044585987261147,0.902542372881356,0.9063829787234042,0.9924729237795916,0.9731413554705612
