model,rmse,mae,r2,rmse_log_scale,mae_log_scale,r2_log_scale,rmse_inverse_value,mae_inverse_value,r2_inverse_value,rmse_original_scale,mae_original_scale,r2_original_scale
numpy_ridge_alpha_1,0.1758145868510822,0.1386075409892482,0.9927664060078729,0.1758145868510822,0.1386075409892482,0.9927664060078729,24.874606094597386,11.457820534931361,0.9733470650961684,24.874606094597386,11.457820534931361,0.9733470650961684
numpy_ridge_alpha_10,0.23139731854321463,0.18717222079723117,0.987469714567452,0.23139731854321463,0.18717222079723117,0.987469714567452,42.60244683982728,17.406166803350054,0.9218189136645049,42.60244683982728,17.406166803350054,0.9218189136645049
mean_baseline,2.080271593469659,1.9877979877430756,-0.0127083656572331,2.080271593469659,1.9877979877430756,-0.0127083656572331,169.41116850349778,91.88132891509784,-0.23627956393364768,169.41116850349778,91.88132891509784,-0.23627956393364768
