phase,algorithm,cv_mean,cv_std,train_f1,test_f1,train_test_gap,test_acc,test_auc,test_precision,test_recall,train_time_sec,params
Phase 2 Tune,RandomForest_default,0.8660521078537673,0.0016111080908970694,0.8754066142392672,0.8705677265900892,0.004838887649178059,0.8937848992473901,0.7902668610547667,0.8700613647570065,0.8937848992473901,3.2552506923675537,"{""n_estimators"": 100, ""max_depth"": null}"
Phase 2 Tune,RandomForest_tuned,0.8671738650935413,0.0,0.8754737550957747,0.8701831416251402,0.005290613470634531,0.8934207331876669,0.7904092616396999,0.8693991641255533,0.8934207331876669,96.1954574584961,"{""n_estimators"": 200, ""min_samples_split"": 10, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": null, ""class_weight"": null, ""bootstrap"": true}"
