Algorithm,CV_Accuracy_Mean,CV_Accuracy_Std,Test_Accuracy,Test_F1,Test_Precision,Test_Recall,Test_AUC,Time
Random Forest,0.7748,0.0303,0.7403,0.7364,0.7349,0.7403,0.8017,1.79s
SVM,0.7699,0.033,0.7338,0.7237,0.7251,0.7338,0.7696,0.14s
KNN,0.7521,0.0329,0.7273,0.7232,0.7215,0.7273,0.7502,0.07s
Decision Tree,0.7227,0.0489,0.7143,0.7154,0.7168,0.7143,0.6906,0.03s
Naive Bayes,0.7748,0.0382,0.7078,0.7043,0.7023,0.7078,0.7854,0.02s
Logistic Regression,0.7878,0.0511,0.6883,0.6798,0.6774,0.6883,0.8028,1.93s
